"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2019-11-26","66.735","66.79","65.625","66.0725","65.2004","105207600","51.9163","60.5424","64.8885","66.1082"
"2019-11-27","66.395","66.995","66.3275","66.96","66.0762","65235600","52.0383","60.7677","65.1807","66.1346"
"2019-11-29","66.65","67","66.475","66.8125","65.9307","46617600","52.1589","60.9992","65.4663","66.1689"
"2019-12-02","66.8175","67.0625","65.8625","66.04","65.1684","94487200","52.2761","61.2313","65.6496","66.2036"
"2019-12-03","64.5775","64.8825","64.0725","64.8625","64.0064","114430400","52.3867","61.435","65.6929","66.1121"
"2019-12-04","65.2675","65.8275","65.17","65.435","64.5714","67181600","52.4989","61.6553","65.7433","66.1107"
"2019-12-05","65.9475","66.4725","65.6825","66.395","65.5187","74424400","52.617","61.8781","65.8439","66.0825"
"2019-12-06","66.87","67.75","66.825","67.6775","66.7842","106075600","52.7392","62.1321","66.0043","66.3118"
"2019-12-09","67.5","67.7","66.2275","66.73","65.8493","128042400","52.8551","62.3727","66.0935","66.2789"
"2019-12-10","67.15","67.5175","66.465","67.12","66.2341","90420400","52.9728","62.5952","66.1927","66.3229"
"2019-12-11","67.2025","67.775","67.125","67.6925","66.7991","78756800","53.0926","62.8261","66.2948","66.5589"
"2019-12-12","66.945","68.14","66.83","67.865","66.9693","137310400","53.2155","63.0886","66.4079","66.9879"
"2019-12-13","67.865","68.825","67.7325","68.7875","67.8796","133587600","53.3407","63.3602","66.535","67.4668"
"2019-12-16","69.25","70.1975","69.245","69.965","69.0416","128186000","53.4707","63.6245","66.74","67.9768"
"2019-12-17","69.8925","70.4425","69.7","70.1025","69.1772","114158400","53.6018","63.8913","66.9144","68.3232"
"2019-12-18","69.95","70.475","69.78","69.935","69.012","116028400","53.7334","64.168","67.0649","68.7811"
"2019-12-19","69.875","70.295","69.7375","70.005","69.081","98369200","53.8678","64.4329","67.2283","69.1932"
"2019-12-20","70.5575","70.6625","69.64","69.86","68.938","275978000","54.0009","64.6796","67.4218","69.5029"
"2019-12-23","70.1325","71.0625","70.0925","71","70.0629","98572000","54.1323","64.9186","67.6836","69.9507"
"2019-12-24","71.1725","71.2225","70.73","71.0675","70.1295","48478800","54.2615","65.1606","67.9513","70.2764"
"2019-12-26","71.205","72.495","71.175","72.4775","71.5209","93121200","54.3968","65.4335","68.2315","70.6354"
"2019-12-27","72.78","73.4925","72.03","72.45","71.4938","146266000","54.5294","65.7107","68.5352","70.9707"
"2019-12-30","72.365","73.1725","71.305","72.88","71.9181","144114400","54.6611","65.9919","68.8171","71.3914"
"2019-12-31","72.4825","73.42","72.38","73.4125","72.4436","100805600","54.7931","66.2781","69.1314","71.8782"
"2020-01-02","74.06","75.15","73.7975","75.0875","74.0964","135480400","54.9354","66.5773","69.5623","72.625"
"2020-01-03","74.2875","75.145","74.125","74.3575","73.3761","146322800","55.072","66.8646","70.0144","73.1046"
