"date","open","high","low","close","adj_close","volume"
"2007-02-15",3.05143,3.05786,3.02786,3.04321,2.602,363661200
"2007-02-16",3.04464,3.05036,3.02357,3.02964,2.5904,399868000
"2007-02-20",3.02321,3.07714,3.00571,3.06786,2.62307,617702400
"2007-02-21",3.07071,3.19607,3.07,3.18571,2.72384,1155313600
"2007-02-22",3.24286,3.24321,3.16179,3.19679,2.73331,838224800
"2007-02-23",3.18429,3.22643,3.17321,3.18107,2.71987,517893600
"2007-02-26",3.20857,3.21429,3.12893,3.16107,2.70277,615848800
"2007-02-27",3.08214,3.11,2.97893,2.9975,2.56292,1145813200
"2007-02-28",2.96429,3.05714,2.96429,3.02179,2.58368,919475200
"2007-03-01",3.00107,3.15393,2.99107,3.10929,2.65849,1415528800
"2007-03-02",3.09893,3.12643,3.04321,3.05036,2.60811,860000400
"2007-03-05",3.0675,3.16607,3.06286,3.08286,2.6359,838899600
"2007-03-06",3.13571,3.15393,3.12143,3.14964,2.693,723186800
"2007-03-07",3.14464,3.1775,3.12321,3.13286,2.67865,626284400
"2007-03-08",3.16393,3.16857,3.12357,3.14286,2.6872,511011200
"2007-03-09",3.17143,3.17321,3.12143,3.14179,2.68628,451836000
"2007-03-12",3.14536,3.21393,3.1425,3.20964,2.7443,729408400
"2007-03-13",3.19321,3.23571,3.15714,3.15714,2.69941,867890800
"2007-03-14",3.16429,3.21429,3.14,3.21429,2.74827,796586000
"2007-03-15",3.21286,3.22714,3.18964,3.19893,2.73514,559498800
"2007-03-16",3.19786,3.21393,3.19,3.19964,2.73575,571704000
"2007-03-19",3.22286,3.26964,3.19964,3.25464,2.78278,712961200
"2007-03-20",3.2625,3.28,3.25214,3.26714,2.79346,488916400
"2007-03-21",3.28536,3.35714,3.27321,3.3525,2.86645,686896000
"2007-03-22",3.3475,3.37,3.32143,3.35571,2.86919,561492400
"2007-03-23",3.33393,3.35964,3.33214,3.34,2.85576,450884000
"2007-03-26",3.35679,3.425,3.33214,3.42321,2.92691,864987200
"2007-03-27",3.41821,3.45821,3.39286,3.40929,2.915,932052800
"2007-03-28",3.38857,3.40714,3.32679,3.33,2.84721,942337200
"2007-03-29",3.36393,3.36393,3.29393,3.34821,2.86278,725723600
"2007-03-30",3.36714,3.38143,3.3125,3.31821,2.83713,600558000
"2007-04-02",3.36214,3.36607,3.32214,3.34464,2.85973,501992400
"2007-04-03",3.36214,3.40107,3.34857,3.375,2.88568,583934400
"2007-04-04",3.39071,3.39786,3.36179,3.36679,2.87866,476784000
"2007-04-05",3.36143,3.38143,3.34,3.38143,2.89118,355516000
"2007-04-09",3.40036,3.40357,3.32286,3.34464,2.85973,413341600
"2007-04-10",3.34536,3.36643,3.33607,3.36607,2.87805,352466800
"2007-04-11",3.35357,3.35536,3.2975,3.30679,2.82736,549018400
"2007-04-12",3.28714,3.29679,3.24,3.2925,2.81515,656675600
"2007-04-13",3.24643,3.26429,3.21643,3.22286,2.7556,719941600
"2007-04-16",3.23464,3.26786,3.22321,3.26536,2.79194,609033600
"2007-04-17",3.28571,3.29643,3.20357,3.22679,2.75896,751920400
"2007-04-18",3.22,3.24464,3.2,3.22857,2.76049,464044000
"2007-04-19",3.22107,3.25893,3.20821,3.22393,2.75652,425913600
"2007-04-20",3.24607,3.25643,3.23393,3.24893,2.77789,522779600
"2007-04-23",3.27107,3.35,3.265,3.33964,2.85545,780290000
"2007-04-24",3.35571,3.4425,3.26071,3.33,2.84721,1055252800
"2007-04-25",3.36536,3.40714,3.35,3.40536,2.91164,1187144000
"2007-04-26",3.62786,3.66071,3.51071,3.53,3.01821,1737778000
"2007-04-27",3.50643,3.56964,3.48893,3.56857,3.05119,699403600
"2007-04-30",3.57464,3.60714,3.55964,3.56429,3.04753,616509600
"2007-05-01",3.55679,3.58393,3.51964,3.5525,3.03745,532523600
"2007-05-02",3.55893,3.59071,3.5525,3.58536,3.06555,505145200
"2007-05-03",3.5975,3.62321,3.57179,3.58571,3.06585,576077600
"2007-05-04",3.6,3.62857,3.58929,3.60036,3.07837,381987200
"2007-05-07",3.61,3.72679,3.6075,3.71143,3.17334,861557200
"2007-05-08",3.69536,3.75536,3.69357,3.75214,3.20815,783997200
"2007-05-09",3.74679,3.82,3.74607,3.81714,3.26373,717757600
"2007-05-10",3.80821,3.88714,3.78286,3.83357,3.27777,1197257600
"2007-05-11",3.84786,3.8975,3.81357,3.88357,3.32052,653696400
"2007-05-14",3.915,3.92857,3.86607,3.90571,3.33946,651946400
"2007-05-15",3.91321,3.93571,3.80286,3.84,3.28327,954514400
"2007-05-16",3.87607,3.88679,3.69357,3.83357,3.27777,1126767600
"2007-05-17",3.82679,3.92393,3.82679,3.90857,3.3419,735291200
"2007-05-18",3.93679,3.95143,3.92036,3.92929,3.35961,621345200
"2007-05-21",3.93964,4.01607,3.93036,3.99929,3.41946,639892400
"2007-05-22",4.0175,4.0625,4.00036,4.055,3.4671,572409600
"2007-05-23",4.07214,4.10714,4.02107,4.03179,3.44725,911374800
"2007-05-24",4.02893,4.08786,3.94179,3.95321,3.38007,887362000
"2007-05-25",4,4.06357,3.98214,4.05786,3.46954,632959600
